dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,22.65,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,23.55,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,25.5,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,25.6,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,26.8,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,27.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,28.25,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,28.55,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,28.75,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,29.25,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,32.05,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,32.4,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,33.6,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,33.65,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,35.0,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,35.05,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,35.85,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,37.15,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,37.55,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,39.5,0.05,0,,0.30907,0,train
