ablation,future_difference,rfs_difference,wrong_commitment_increase
C-noProbe,-0.04858333333333333,-0.019421527777777788,-0.07425
C-noReversibility,0.33208333333333334,0.21291180555555556,0.6050833333333334
C-noBranchMemory,-0.05441666666666669,-0.019421527777777788,-0.07425
C-immediateCommit,0.33208333333333334,0.21291180555555556,0.6050833333333334
C-scalarized,0.33208333333333334,0.21291180555555556,0.6050833333333334
