seed,condition,complete,preC_sha256,wall_seconds,device,git_sha,config_sha256,code_tree_sha256
2004,replay,True,0a3bf9d036161cce55af7d8a407e00588b615e54e9654bdcad78b27d518b97c6,185.07145129103446,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2005,constrained,True,f6e8168926fb746fed2cd741b9813430dbae4cbb469789be685c68b36c370b32,351.20541941700503,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2005,standard,True,4a2c9d984c4262dd8bb40052926202e8b823bee56f061937170a3d8805a8bb5e,196.20128762500826,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2005,high_update,True,4c980fa79c1bee9617b98361c23d81cafe9189afca46a533907e379379a31b9f,171.29253241600236,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2005,replay,True,7b33586dd51966422341481b651f63de0fd2b1f64f332f6d74767dcf78e93a4c,185.20588112500263,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2006,constrained,True,d559abe2d5b56020a7523d4e9a4de0b6c1f77b9c6d8c423ae011a010de757814,349.3079413329833,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2006,standard,True,54f977faec5903b1d4233c607d968efc1e68a0eda7d849e61c823bfd6e94e4e5,196.21190504200058,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2006,high_update,True,7057ac76e8fd49a29e082b991279fa31c6c1648b241a530e9f00a80c14a25a8f,173.1343475410249,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2006,replay,True,6835d48e42facc7188516c2f3ad8255abcd0854f74fe8e2298676a388802fbd3,188.90339074999793,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
2007,constrained,True,5bf616f90a49337d9bc5b6f98d8073f124deb25c13f93ffa558f1d613c0e281d,348.7536507080076,mps,02d78d2b2cb1d0bf6ad49a224c5350effc541a27,90c0aeb56419663f0f805abf6f92e8202409198eb4647f0a821b1b7717ab2b01,101ab1fbdc9bc714ae2b51f42f9b4863808949ce8f26a5f42d8b9f5447da8403
