A_accuracy,B_accuracy,C_accuracy,batches,checkpoint_id,condition,data_shift_id,fisher_empirical_diag_burden,fisher_sample_count,global_step,gradient_disagreement,learning_rate,model_id,no_shift,parameter_distance_from_phase_start,parameter_update_norm,phase,phase_epoch,phase_global_updates,phase_relative_step,predictive_KL_from_previous,predictive_entropy,probe_gradient_norm,representation_coherence,representation_drift_from_A,representation_velocity,seed,timestamp_utc,train_gradient_norm,train_loss,validation_accuracy,validation_balanced_accuracy,validation_loss,C_balanced_accuracy,C_changed_balanced_accuracy,C_test_loss,C_unchanged_balanced_accuracy,head_parameter_distance_from_B,trunk_parameter_distance_from_B
0.868375,,,391.0,A15,constrained,A_clean,0.011180025525391102,20,5865,0.8495511418829361,0.02,light_cnn,False,19.65100349127312,0.8921771691315791,A,15,5865,5865,0.04598404177026113,0.38403385877609253,1.6119930148124695,0.6404476378260489,0.0,0.006337116817009214,2001,2026-07-10T17:11:35.154641+00:00,1.2982456057577791,0.3787594506960086,0.868375,0.868375,0.3677026199851143,,,,,,
0.698875,0.678125,,391.0,B10,constrained,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.02275525964796543,20,9775,0.3515992959340414,0.003,light_cnn,False,16.198922794409853,0.5026922981595147,B,10,3910,3910,0.07608393497215762,1.183061122894287,5.312887668609619,0.3574556259438524,0.4207420751107397,0.0007199695924917648,2001,2026-07-10T17:13:59.205739+00:00,3.2976923775489984,0.893404191564721,0.678125,0.678125,0.9540945091355679,,,,,,
0.56925,0.552125,0.6755,391.0,C8,constrained,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.009217321872711182,20,12903,0.7830010453859965,0.003,light_cnn,False,3.2759448188421585,0.22372728687580404,C,8,3128,3128,0.04992013793594034,1.2180492877960205,3.4469560384750366,0.35374644376841946,,0.0006238419297683873,2001,2026-07-10T17:16:04.579020+00:00,3.777672877701957,0.9329280231309973,0.67575,0.6757500000000001,0.9351441998128576,0.6754999999999999,0.49675,0.9514662949570688,0.7946666666666667,2.546061522672184,2.0614036913877354
0.868375,,,391.0,A15,high_update,A_clean,0.011180025525391102,20,5865,0.8495511418829361,0.02,light_cnn,False,19.65100349127312,0.8921771691315791,A,15,5865,5865,0.04598404177026113,0.38403385877609253,1.6119930148124695,0.6404476378260489,0.0,0.006337116817009214,2001,2026-07-10T17:11:35.154641+00:00,1.2982456057577791,0.3787594506960086,0.868375,0.868375,0.3677026199851143,,,,,,
0.1,0.1,,391.0,B10,high_update,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.003340715542435646,20,9775,1.2553513248761494,0.12,light_cnn,False,244.6459674083305,0.2724092567405896,B,10,3910,3910,0.003591954623708079,2.300891399383545,0.0957868043333292,1.0,1.0,1.0,2001,2026-07-10T17:22:44.657668+00:00,0.08257920524615156,2.304514207498497,0.1,0.1,2.3042857170104982,,,,,,
0.1,0.1,0.1,391.0,C8,high_update,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.0014456482604146004,20,12903,1.294672401001056,0.12,light_cnn,False,0.14305462208604094,0.1792076364353196,C,8,3128,3128,0.0015765719104496368,2.3016743659973145,0.09360085427761078,1.0,,1.0,2001,2026-07-10T17:24:41.516316+00:00,0.08406340834849022,2.3046172268860174,0.1,0.1,2.303507590293884,0.1,0.25,2.303507590293884,0.0,0.14305462208604094,0.0
0.868375,,,391.0,A15,replay,A_clean,0.011180025525391102,20,5865,0.8495511418829361,0.02,light_cnn,False,19.65100349127312,0.8921771691315791,A,15,5865,5865,0.04598404177026113,0.38403385877609253,1.6119930148124695,0.6404476378260489,0.0,0.006337116817009214,2001,2026-07-10T17:11:35.154641+00:00,1.2982456057577791,0.3787594506960086,0.868375,0.868375,0.3677026199851143,,,,,,
0.865125,0.85925,,391.0,B10,replay,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.004658174235373735,20,9775,0.8428575755096972,0.02,light_cnn,False,10.378297357709792,0.8972584419540802,B,10,3910,3910,0.05410009472926574,0.42113420367240906,1.4829295873641968,0.5136398706026919,0.10941673717089728,0.003625068845395485,2001,2026-07-10T17:27:15.943684+00:00,1.2185269505776408,0.3841307849225486,0.85925,0.85925,0.395072657348107,,,,,,
0.601875,0.601375,0.8564,391.0,C8,replay,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.003304986981675029,20,12903,0.7320239245891571,0.02,light_cnn,False,7.6515597551329755,0.8244712451882721,C,8,3128,3128,0.04927618983821472,0.4571933150291443,1.2314295023679733,0.5638140108801437,,0.004774413396466559,2001,2026-07-10T17:29:30.412176+00:00,1.1173924964559658,0.4523832455772878,0.860125,0.860125,0.41675267241599145,0.8564,0.7445,0.43027818207673935,0.931,4.808116235682429,5.95217480846603
0.868375,,,391.0,A15,standard,A_clean,0.011180025525391102,20,5865,0.8495511418829361,0.02,light_cnn,False,19.65100349127312,0.8921771691315791,A,15,5865,5865,0.04598404177026113,0.38403385877609253,1.6119930148124695,0.6404476378260489,0.0,0.006337116817009214,2001,2026-07-10T17:11:35.154641+00:00,1.2982456057577791,0.3787594506960086,0.868375,0.868375,0.3677026199851143,,,,,,
0.83825,0.842125,,391.0,B10,standard,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.006737218238413334,20,9775,0.6066311970353127,0.02,light_cnn,False,12.85968902790022,0.9090434747892544,B,10,3910,3910,0.08469511746287783,0.43181973695755005,1.8190584778785706,0.5274247966878962,0.09049786738001775,0.005384899160261525,2001,2026-07-10T17:18:21.842598+00:00,1.1743373065196034,0.402634121191776,0.842125,0.842125,0.4403664280629964,,,,,,
0.59575,0.597,0.8507,391.0,C8,standard,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.005807599518448114,20,12903,1.0294284659127395,0.02,light_cnn,False,8.855681001405163,0.9114941556751842,C,8,3128,3128,0.04992279554974351,0.39482980966567993,1.361112266778946,0.5376737603951556,,0.004846419378631284,2001,2026-07-10T17:20:27.395724+00:00,1.175687337241819,0.3844698476593208,0.85675,0.8567499999999999,0.3971826781853985,0.8507000000000001,0.7425,0.42028368416562617,0.9228333333333335,5.665431297265884,6.806318697696175
0.865,,,391.0,A15,constrained,A_clean,0.011593414470553398,20,5865,0.8978344566809634,0.02,light_cnn,False,19.611491347346078,0.9572658734281854,A,15,5865,5865,0.033930116840325146,0.4306464195251465,1.103356659412384,0.6217140147944955,0.0,0.009396492175974602,2002,2026-07-10T17:32:13.157182+00:00,1.277375588331686,0.3931702514896003,0.865,0.865,0.38419867806820035,,,,,,
0.679125,0.670125,,391.0,B10,constrained,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.02729477360844612,20,9775,0.5013174017270405,0.003,light_cnn,False,16.46211952010691,0.5272567021482867,B,10,3910,3910,0.14658316089053197,1.132594347000122,4.329958915710449,0.350778593370931,0.4586737325979757,0.004459468839436598,2002,2026-07-10T17:34:05.304613+00:00,3.674821742507808,0.9051567643804623,0.670125,0.670125,0.941243252874614,,,,,,
0.567125,0.558125,0.694,391.0,C8,constrained,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.016566531732678413,20,12903,0.7535899318754673,0.003,light_cnn,False,3.3392142174393777,0.22969970040691276,C,8,3128,3128,0.10182062652829973,1.1781724691390991,3.5269987881183624,0.3448295385026767,,0.0001360999690632747,2002,2026-07-10T17:35:42.111956+00:00,4.413848610485301,0.9444118398229789,0.700125,0.7001250000000001,0.9008895236095196,0.694,0.501,0.9156356973487069,0.8226666666666667,2.5493467662381843,2.1566600695103033
0.865,,,391.0,A15,high_update,A_clean,0.011593414470553398,20,5865,0.8978344566809634,0.02,light_cnn,False,19.611491347346078,0.9572658734281854,A,15,5865,5865,0.033930116840325146,0.4306464195251465,1.103356659412384,0.6217140147944955,0.0,0.009396492175974602,2002,2026-07-10T17:32:13.157182+00:00,1.277375588331686,0.3931702514896003,0.865,0.865,0.38419867806820035,,,,,,
0.1,0.1,,391.0,B10,high_update,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.001827605301514268,20,9775,1.3035926533242066,0.12,light_cnn,False,462.56526433830305,0.20150520592291363,B,10,3910,3910,0.0020053099203432368,2.301704168319702,0.09336013998836279,1.0,1.0,1.0,2002,2026-07-10T17:41:04.675412+00:00,0.08516448807647771,2.304643757812812,0.1,0.1,2.3034623861312866,,,,,,
