name,features,n,adjusted_r2,cv_r2,cv_rmse,cv_nrmse,cv_mae,delta_cv_r2_vs_M0,relative_nrmse_improvement_vs_M0,delta_cv_r2_vs_M0_interval,relative_nrmse_improvement_vs_M0_interval
M0_performance,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy']",40,0.9473461069770736,0.9310677892160563,0.06296243742849131,0.26254944445450434,0.03693496821712351,,,,
M1_construct,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy', 'SR_preC']",40,0.9466521959644066,0.9314320997435512,0.06279583704043437,0.2618547312077383,0.037692932390305814,0.00036431052749497095,0.002646028248914472,"[-0.002132953088582715, 0.0026818177770863744]","[-0.014861202404332634, 0.027258887867684763]"
M2_representation,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy', 'representation_drift_area']",40,0.9457013852095817,0.9301818625371802,0.06336574686475957,0.26423121969638175,0.03753586014858433,-0.0008859266788761033,-0.006405556276705141,"[-0.0029172846811625712, -9.91822053876713e-05]","[-0.023395469550562493, -0.0007114867265861286]"
M1_plus_representation,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy', 'representation_drift_area', 'SR_preC']",40,0.9450606234401533,0.9290057387221621,0.06389723284579474,0.2664474831505186,0.039161795700461376,-0.0020620504938941853,-0.014846874668115554,"[-0.009693495139308714, 0.0015143485994853947]","[-0.07711482721503439, 0.015155796259241601]"
M2_simple,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy', 'gradient_norm_area', 'update_norm_area', 'parameter_distance_B_end', 'predictive_KL_area', 'predictive_entropy_change_area', 'representation_drift_area']",40,0.9406602883110888,0.8812618800353548,0.08263528185260047,0.3445839810026794,0.05003429010674827,-0.04980590918070149,-0.31245366646387207,"[-0.09709421629666297, -0.010960775380362204]","[-0.7419328662145359, -0.05323393132679911]"
M1_simple,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy', 'gradient_norm_area', 'update_norm_area', 'parameter_distance_B_end', 'predictive_KL_area', 'predictive_entropy_change_area', 'representation_drift_area', 'SR_preC']",40,0.9393756695436017,0.8713433089105914,0.0860174606402502,0.3586874559952377,0.052508942585537774,-0.059724480305464844,-0.3661710720436371,"[-0.10943054947547265, -0.012014264028796923]","[-0.8500215798814211, -0.06380073709231261]"
M3_fisher,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy', 'gradient_norm_area', 'update_norm_area', 'parameter_distance_B_end', 'predictive_KL_area', 'predictive_entropy_change_area', 'representation_drift_area', 'SR_preC', 'fisher_burden_area']",40,0.9369529964835998,0.8347600438576943,0.09748279308039079,0.4064971785153344,0.06201696952228345,-0.09630774535836195,-0.5482690483667189,"[-0.16439068206406088, -0.03554760382407183]","[-1.1567315306135602, -0.1759691827642999]"
