variable,between_ss_fraction,between_to_within_ss,variance_of_condition_means,mean_within_condition_variance,between_to_within_variance_ratio
SR_preC,0.6201606954467701,1.6326922675266806,6.943943991590448,3.5442196353131394,1.9592307210314792
Q_C_changed_AULC_gain,0.5895413718939388,1.436299133518527,0.045205771087239575,0.026228154725477428,1.7235589601583434
B_end_validation_accuracy,0.5599931014524125,1.2726916402921995,0.04966313472656251,0.03251843910590278,1.5272299683049786
B_end_validation_loss,0.56415823794535,1.2944106945736202,0.31621992420856043,0.20358036642605168,1.5532928334809266
