model,continuous_features,includes_condition,ordinary_cv_r2,leave_one_condition_out_cv_r2,leave_one_seed_out_cv_r2,within_condition_pooled_r2,within_condition_r2
condition_only,[],True,0.42785949120650846,-0.3634134388654753,0.4932609529557964,0.4932609529557964,"{'constrained': -0.23456790123456828, 'standard': -0.23456790123457005, 'high_update': -0.23456790123456828, 'replay': -0.23456790123456295}"
B_accuracy_loss_only,"['B_end_validation_accuracy', 'B_end_validation_loss']",False,0.930362594194784,0.35845385977991473,0.9323156100693142,0.9310299619481154,"{'constrained': -0.8273756634273943, 'standard': -0.7240104275919748, 'high_update': 0.8596737088759752, 'replay': 0.08989832441073187}"
B_internal_state_only,"['B_end_predictive_entropy', 'B_end_representation_coherence', 'B_end_gradient_disagreement', 'B_end_probe_gradient_norm', 'B_end_parameter_distance', 'B_end_representation_drift']",False,0.9081708230312414,-12.673006909451313,0.9127729693986745,-1658.1559977432923,"{'constrained': -24.332004217339733, 'standard': -4.553873674243149, 'high_update': -4114.080399227696, 'replay': -5.389985372159862}"
condition_plus_B_accuracy_loss,"['B_end_validation_accuracy', 'B_end_validation_loss']",True,0.9370299155426334,0.5725279117603026,0.9352345850281734,0.9310299619481154,"{'constrained': -0.8273756634273943, 'standard': -0.7240104275919748, 'high_update': 0.8596737088759752, 'replay': 0.08989832441073187}"
condition_plus_complete_B_state,"['B_end_validation_accuracy', 'B_end_validation_loss', 'B_end_predictive_entropy', 'B_end_representation_coherence', 'B_end_gradient_disagreement', 'B_end_probe_gradient_norm', 'B_end_parameter_distance', 'B_end_representation_drift']",True,0.5164361539098103,-0.027903175536357683,0.8995639630441017,-1226969307.7720912,"{'constrained': -150.07879022600451, 'standard': -11.164192353685197, 'high_update': -3043417263.3816905, 'replay': -71.09713956743934}"
complete_locked_M0,"['B_end_validation_accuracy', 'B_end_validation_loss', 'A_end_validation_accuracy']",True,0.9316693603316853,0.5869845403651095,0.9310677892160562,0.9056672523458904,"{'constrained': -0.7074581246672214, 'standard': -1.0472388976934144, 'high_update': 0.7966902117343064, 'replay': -0.0339860299794803}"
