feature,pearson_raw,spearman_raw,pearson_within_condition_centered,incremental_beta_after_locked_M0,incremental_beta_hc3_interval
opening_dimension,-0.9415288685721441,-0.7999437130616487,-0.9186002881812987,-0.03666891666865975,"[-0.33395082801584125, 0.2606129946785218]"
stabilization_dimension,0.8199236880686885,0.009475116104049082,0.9359809559363534,-0.1906595871398716,"[-1.0014659651208446, 0.6201467908411015]"
adaptation_dimension,0.9261527464059671,0.8835311234448935,0.9307544003081591,-0.42481152317321286,"[-1.4255174025572461, 0.5758943562108205]"
nonrollback_dimension,-0.9693152309522729,-0.8140397531725696,-0.9358366653254984,-0.03593668329967753,"[-0.4796392477390555, 0.4077658811397004]"
incorporation_dimension,-0.7142678267025926,-0.5434135856628154,-0.6640694772238824,-0.04534555654662414,"[-0.14157729802503613, 0.05088618493178786]"
d_repr_peak,-0.925651905438287,-0.7405572313001294,-0.9266572868584462,0.015264726606932719,"[-0.2910274761748274, 0.32155692938869285]"
d_grad_peak,-0.850909534358556,-0.7440311467446858,-0.8251031024153368,-0.02948054981839567,"[-0.1598108295657761, 0.10084972992898476]"
r_grad,-0.09766947312861896,-0.23190581197236956,-0.26883632792496204,-0.03929076462304733,"[-0.10234241722866108, 0.023760887982566425]"
v_late,-0.8255638806162648,-0.0762075770313926,-0.9377221544084288,0.14335527849668056,"[-0.5938345638457962, 0.8805451208391575]"
B_loss_slope_late,-0.1954456900105864,-0.37712838354730005,0.0043508951887436115,0.0037004120954118556,"[-0.03552265297811005, 0.04292347716893376]"
representation_drift_area,-0.9566822442274268,-0.727452282494534,-0.9369016206252841,-0.00941785441729398,"[-0.46212255784288236, 0.4432868490082944]"
gradient_norm_area,0.26199118230564067,0.09165533102629655,0.7830437042530535,-0.17999553082999992,"[-0.6828241624610776, 0.3228331008010777]"
update_norm_area,-0.49260665972201817,-0.7137295378178754,-0.031124441851609425,0.023580889788948962,"[-0.23670238829356754, 0.28386416787146546]"
parameter_distance_B_end,-0.582279593246372,-0.7891552145273353,-0.2931334536061893,0.027254488763946896,"[-0.2534114959680571, 0.30792047349595086]"
predictive_KL_area,0.8721522159251762,0.7274262403049166,0.8553875935432498,0.02989582261223455,"[-0.07094324952138281, 0.1307348947458519]"
loss_change_area,0.7315011986396013,0.6019982182146827,0.5886529969005405,0.08892771065932531,"[-0.039502835044959966, 0.21735825636361059]"
fisher_burden_area,0.14768028664088373,-0.005816407905455872,0.7822557467819957,-0.022622160280931974,"[-0.4002325723451611, 0.35498825178329707]"
