seed,C_SD,C_SI,gain_auc_I,gain_auc_S,gain_auc_D,update0_I,update0_S,update0_D,final_I,final_S,final_D
400,0.0008025024086236732,0.04071752727031708,0.37239498756825923,0.4131125148385763,0.41231001242995263,0.5852000117301941,0.569599986076355,0.573199987411499,1.0,1.0,1.0
401,-0.023337506502866756,0.03315750211477281,0.4065425116568804,0.4397000137716532,0.46303752027451994,0.5591999888420105,0.5379999876022339,0.5127999782562256,1.0,1.0,1.0
402,0.009330000169575192,-0.05086501203477384,0.4713825050741434,0.4205174930393696,0.4111874928697944,0.48559999465942383,0.5532000064849854,0.5532000064849854,1.0,1.0,1.0
403,0.03518751524388786,0.1179224912077188,0.3895575195550919,0.5074800107628107,0.47229249551892283,0.5623999834060669,0.47119998931884766,0.503600001335144,1.0,1.0,1.0
404,-0.0052425064146518485,0.14164248295128345,0.33974500708281996,0.4813874900341034,0.48662999644875526,0.6227999925613403,0.4828000068664551,0.4828000068664551,1.0,1.0,1.0
405,0.020369980111718144,-0.0202400173991919,0.4837500095367432,0.4635099921375513,0.44314001202583314,0.4747999906539917,0.5108000040054321,0.5275999903678894,1.0,1.0,1.0
406,-0.15608501210808756,-0.06152500808238981,0.4788224924355745,0.4172974843531847,0.5733824964612723,0.46880000829696655,0.532800018787384,0.3912000060081482,1.0,1.0,1.0
407,-0.003975002095103264,0.008362485095858574,0.4639200147241354,0.472282499819994,0.47625750191509725,0.4991999864578247,0.5,0.5,1.0,1.0,1.0
408,-0.002257490530610029,0.013249979913234733,0.4863300148397684,0.49957999475300313,0.5018374852836132,0.4779999852180481,0.47920000553131104,0.47440001368522644,1.0,1.0,1.0
409,0.055544975399971,-0.06306500062346454,0.5171899989247322,0.4541249983012676,0.3985800229012966,0.44200000166893005,0.5284000039100647,0.5831999778747559,1.0,1.0,1.0
410,-0.0032324992120266183,0.015382516756653752,0.45344000644981863,0.4688225232064724,0.472055022418499,0.5171999931335449,0.5091999769210815,0.5091999769210815,1.0,1.0,1.0
411,-0.005610000714659669,0.0022324968129396328,0.45180501490831376,0.4540375117212534,0.45964751243591306,0.4991999864578247,0.4991999864578247,0.4991999864578247,1.0,1.0,1.0
