recording_id,rec_key,animal,condition,source_path,accepted_roi_count,duration_s_used,frame_count_used,N_G1,group_size_G1,group_n_G1,group_min_G1,group_median_G1,group_max_G1,q_max_G1,N_G2,group_size_G2,group_n_G2,group_min_G2,group_median_G2,group_max_G2,q_max_G2,N_G3,group_size_G3,group_n_G3,group_min_G3,group_median_G3,group_max_G3,q_max_G3
51:awa:20190608_GCaMP6f_51_quiet:4,070_51_awa_b6cb47c5a5,51,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_51_quiet/4/suite2p/plane0,85,300.0,9000,85,1,85,1,1.0,1,0.6939965397923875,43,2,43,1,2.0,2,0.5836938885884262,22,4,22,1,4.0,4,0.5364152892561984
51:awa:20190801_GCaMP6f_51_awake:2,071_51_awa_cf98b50120,51,awa,Anesthesia/calcium_imaging/20190801_GCaMP6f_51_awake/2/suite2p/plane0,277,300.0,9000,277,1,277,1,1.0,1,0.5682874141458901,47,6,47,1,6.0,6,0.3822996831145315,24,12,24,1,12.0,12,0.2439236111111111
51:awa:20190801_GCaMP6f_51_awake:3,072_51_awa_57b9b71ff5,51,awa,Anesthesia/calcium_imaging/20190801_GCaMP6f_51_awake/3/suite2p/plane0,303,300.0,9000,303,1,303,1,1.0,1,0.5358978967203651,44,7,44,2,7.0,7,0.3193440082644628,24,13,24,4,13.0,13,0.21115451388888895
51:iso:20190717_GCaMP6f_51_iso:2,073_51_iso_eba524b772,51,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_51_iso/2/suite2p/plane0,580,300.0,9000,580,1,580,1,1.0,1,0.6159393579072535,49,12,49,4,12.0,12,0.3164306538942107,25,24,25,4,24.0,24,0.2552
51:iso:20190717_GCaMP6f_51_iso:3,074_51_iso_01331cf497,51,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_51_iso/3/suite2p/plane0,571,300.0,9000,571,1,571,1,1.0,1,0.5810300698378427,48,12,48,7,12.0,12,0.34060329861111116,25,23,25,19,23.0,23,0.26159999999999994
51:iso:20190717_GCaMP6f_51_iso:4,075_51_iso_2c803c4760,51,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_51_iso/4/suite2p/plane0,570,300.0,9000,570,1,570,1,1.0,1,0.6147406894429058,48,12,48,6,12.0,12,0.3324652777777778,25,23,25,18,23.0,23,0.23560000000000003
51:iso:20190717_GCaMP6f_51_iso:5,076_51_iso_7a705fd356,51,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_51_iso/5/suite2p/plane0,581,300.0,9000,581,1,581,1,1.0,1,0.601402042890026,49,12,49,5,12.0,12,0.3682319866722199,25,24,25,5,24.0,24,0.2824
51:iso:20190717_GCaMP6f_51_iso:6,077_51_iso_0867da15b3,51,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_51_iso/6/suite2p/plane0,567,300.0,9000,567,1,567,1,1.0,1,0.6414682928498331,48,12,48,3,12.0,12,0.34743923611111116,25,23,25,15,23.0,23,0.25920000000000004
53:awa:20190608_GCaMP6f_53_quiet:2,078_53_awa_883f5a8937,53,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_53_quiet/2/suite2p/plane0,358,300.0,9000,358,1,358,1,1.0,1,0.9022843778284074,45,8,45,6,8.0,8,0.46549382716049387,24,15,24,13,15.0,15,0.3582899305555556
53:awa:20190608_GCaMP6f_53_quiet:3,079_53_awa_68564aef2f,53,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_53_quiet/3/suite2p/plane0,143,300.0,9000,143,1,143,1,1.0,1,0.5009841557044354,48,3,48,2,3.0,3,0.3778754340277778,24,6,24,5,6.0,6,0.27604166666666663
53:awa:20190608_GCaMP6f_53_quiet:4,080_53_awa_a66508e7ed,53,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_53_quiet/4/suite2p/plane0,162,300.0,9000,162,1,162,1,1.0,1,0.8168390870294162,41,4,41,2,4.0,4,0.46386079714455686,24,7,24,1,7.0,7,0.3391927083333333
53:awa:20190801_GCaMP6f_53_awake:2,081_53_awa_672dab3513,53,awa,Anesthesia/calcium_imaging/20190801_GCaMP6f_53_awake/2/suite2p/plane0,191,300.0,9000,191,1,191,1,1.0,1,0.7750712699761522,48,4,48,3,4.0,4,0.46630859375,24,8,24,7,8.0,8,0.3309461805555555
53:awa:20190801_GCaMP6f_53_awake:3,082_53_awa_8150ec4e61,53,awa,Anesthesia/calcium_imaging/20190801_GCaMP6f_53_awake/3/suite2p/plane0,137,300.0,9000,137,1,137,1,1.0,1,0.5576882092812617,46,3,46,2,3.0,3,0.4014650283553875,23,6,23,5,6.0,6,0.2547258979206049
53:iso:20190717_GCaMP6f_53_iso_zoom2.5:2,083_53_iso_817815ddb7,53,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_53_iso_zoom2.5/2/suite2p/plane0,367,300.0,9000,367,1,367,1,1.0,1,0.7838010156731432,46,8,46,7,8.0,8,0.41522920604914937,25,15,25,7,15.0,15,0.2846
53:iso:20190717_GCaMP6f_53_iso_zoom2.5:3,084_53_iso_1f44cd34b1,53,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_53_iso_zoom2.5/3/suite2p/plane0,384,300.0,9000,384,1,384,1,1.0,1,0.7188034057617188,48,8,48,8,8.0,8,0.4374457465277778,24,16,24,16,16.0,16,0.4220920138888889
53:iso:20190717_GCaMP6f_53_iso_zoom2.5:4,085_53_iso_edad9874d1,53,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_53_iso_zoom2.5/4/suite2p/plane0,405,300.0,9000,405,1,405,1,1.0,1,0.7274356043286085,45,9,45,9,9.0,9,0.40580246913580253,24,17,24,14,17.0,17,0.30316840277777773
53:iso:20190717_GCaMP6f_53_iso_zoom2.5:5,086_53_iso_acde069c32,53,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_53_iso_zoom2.5/5/suite2p/plane0,397,300.0,9000,397,1,397,1,1.0,1,0.7309100368633772,50,8,50,5,8.0,8,0.5345500000000001,25,16,25,13,16.0,16,0.4122
53:iso:20190717_GCaMP6f_53_iso_zoom2.5:6,087_53_iso_5c4c2b9600,53,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_53_iso_zoom2.5/6/suite2p/plane0,393,300.0,9000,393,1,393,1,1.0,1,0.6796604380734093,50,8,50,1,8.0,8,0.42239999999999994,25,16,25,9,16.0,16,0.37300000000000005
