recording_id,rec_key,animal,condition,source_path,accepted_roi_count,duration_s_used,frame_count_used,N_G1,group_size_G1,group_n_G1,group_min_G1,group_median_G1,group_max_G1,q_max_G1,N_G2,group_size_G2,group_n_G2,group_min_G2,group_median_G2,group_max_G2,q_max_G2,N_G3,group_size_G3,group_n_G3,group_min_G3,group_median_G3,group_max_G3,q_max_G3
37528:awa:20181224-awake imaging GCaMP6f mouse #37528:2,016_37528_awa_b6374dc331,37528,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37528/2/suite2p/plane0,305,300.0,9000,305,1,305,1,1.0,1,0.8389115829078206,44,7,44,4,7.0,7,0.4460227272727274,24,13,24,6,13.0,13,0.3700086805555556
37528:awa:20181224-awake imaging GCaMP6f mouse #37528:3,017_37528_awa_d037bfc052,37528,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37528/3/suite2p/plane0,376,300.0,9000,376,1,376,1,1.0,1,0.8588727931190585,47,8,47,8,8.0,8,0.48851290176550477,24,16,24,8,16.0,16,0.3687065972222222
37528:awa:20190410 - awake imaging GCaMP6f mouse #37528:2,018_37528_awa_35ef7202d3,37528,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37528/2/suite2p/plane0,400,300.0,9000,400,1,400,1,1.0,1,0.8456234375,50,8,50,8,8.0,8,0.5387500000000001,25,16,25,16,16.0,16,0.34280000000000005
37528:awa:20190410 - awake imaging GCaMP6f mouse #37528:3,019_37528_awa_39ea3b3a55,37528,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37528/3/suite2p/plane0,463,300.0,9000,463,1,463,1,1.0,1,0.8137726303709958,47,10,47,3,10.0,10,0.452806699864192,25,19,25,7,19.0,19,0.49460000000000004
37528:awa:20190410 - awake imaging GCaMP6f mouse #37528:4,020_37528_awa_539ec7034a,37528,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37528/4/suite2p/plane0,467,300.0,9000,467,1,467,1,1.0,1,0.883317705157069,47,10,47,7,10.0,10,0.4838727931190584,25,19,25,11,19.0,19,0.4702
37528:awa:20190410 - awake imaging GCaMP6f mouse #37528:5,021_37528_awa_b8aea94c99,37528,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37528/5/suite2p/plane0,486,300.0,9000,486,1,486,1,1.0,1,0.8858490406272757,49,10,49,6,10.0,10,0.5223344439816744,25,20,25,6,20.0,20,0.3874
37528:awa:20190410 - awake imaging GCaMP6f mouse #37528:6,022_37528_awa_7b2cf51846,37528,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37528/6/suite2p/plane0,469,300.0,9000,469,1,469,1,1.0,1,0.8895952009674444,47,10,47,9,10.0,10,0.5278406518786781,25,19,25,13,19.0,19,0.38560000000000005
37528:iso:20181206-imaging GCaMP6f mouse #37528 under isoflurane:2,023_37528_iso_a3440b9f65,37528,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37528 under isoflurane/2/suite2p/plane0,461,300.0,9000,461,1,461,1,1.0,1,0.7435612245378103,47,10,47,1,10.0,10,0.5116002716161159,25,19,25,5,19.0,19,0.44559999999999994
37528:iso:20181206-imaging GCaMP6f mouse #37528 under isoflurane:3,024_37528_iso_43970d52c2,37528,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37528 under isoflurane/3/suite2p/plane0,466,300.0,9000,466,1,466,1,1.0,1,0.7281061771261214,47,10,47,6,10.0,10,0.6090991398822997,25,19,25,10,19.0,19,0.4922000000000001
37528:iso:20181206-imaging GCaMP6f mouse #37528 under isoflurane:4,025_37528_iso_ec75b365c2,37528,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37528 under isoflurane/4/suite2p/plane0,505,300.0,9000,505,1,505,1,1.0,1,0.8464503480050977,46,11,46,10,11.0,11,0.48712192816635164,25,21,25,1,21.0,21,0.40740000000000004
