timestamp,topic,views,total_views,rho
2026-03-14T00:00:00Z,crisis,14610,431972,0.03382164
2026-03-14T00:00:00Z,culture,104552,431972,0.24203421
2026-03-14T00:00:00Z,politics,119476,431972,0.27658274
2026-03-14T00:00:00Z,science,193334,431972,0.44756142
2026-03-15T00:00:00Z,crisis,15923,395399,0.04027071
2026-03-15T00:00:00Z,culture,122832,395399,0.31065329
2026-03-15T00:00:00Z,politics,117610,395399,0.29744638
2026-03-15T00:00:00Z,science,139034,395399,0.35162962
